Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s/s)	Ping Echo Time (s)	
0.000	0.19			0.001088	
0.025	0.19	-0.01		0.001086	
0.050	0.19	7.47E-5	0.07	0.001086	
0.075	0.19	-0.00	-0.07	0.001086	
0.100	0.19	-0.00	0.07	0.001085	
0.125	0.19	0.00	0.07	0.001085	
0.150	0.19	0.00	0.00	0.001085	
0.175	0.19	0.00	0.00	0.001085	
0.200	0.19	0.00	0.00	0.001085	
0.225	0.19	0.00	0.00	0.001085	
0.250	0.19	0.00	0.00	0.001085	
0.275	0.19	0.00	0.00	0.001085	
0.300	0.19	0.00	0.00	0.001085	
0.325	0.19	0.00	0.00	0.001085	
0.350	0.19	0.00	0.00	0.001085	
0.375	0.19	0.00	0.00	0.001085	
0.400	0.19	0.00	0.00	0.001085	
0.425	0.19	0.00	0.00	0.001085	
0.450	0.19	0.00	0.00	0.001085	
0.475	0.19	0.00	0.00	0.001085	
0.500	0.19	0.00	0.00	0.001085	
0.525	0.19	0.00	0.00	0.001085	
0.550	0.19	0.00	0.00	0.001085	
0.575	0.19	0.00	0.00	0.001085	
0.600	0.19	0.00	0.00	0.001085	
0.625	0.19	0.00	0.00	0.001085	
0.650	0.19	0.00	0.00	0.001085	
0.675	0.19	0.00	0.00	0.001085	
0.700	0.19	0.00	0.00	0.001085	
0.725	0.19	0.00	0.00	0.001085	
0.750	0.19	0.00	0.00	0.001085	
0.775	0.19	0.00	0.00	0.001085	
0.800	0.19	0.00	0.00	0.001085	
0.825	0.19	0.00	0.00	0.001085	
0.850	0.19	0.00	0.00	0.001085	
0.875	0.19	0.00	-0.01	0.001085	
0.900	0.19	-5.22E-4	0.45	0.001085	
0.925	0.19	0.02	1.71	0.001085	
0.950	0.19	0.08	2.35	0.001092	
0.975	0.19	0.14	1.86	0.001109	
1.000	0.19	0.18	1.51	0.001132	
1.025	0.20	0.22	1.51	0.001161	
1.050	0.21	0.25	1.44	0.001195	
1.075	0.21	0.29	1.31	0.001235	
1.100	0.22	0.32	1.03	0.001279	
1.125	0.23	0.34	0.82	0.001328	
1.150	0.24	0.36	0.96	0.001377	
1.175	0.25	0.39	0.90	0.001432	
1.200	0.26	0.40	0.67	0.001490	
1.225	0.27	0.42	1.31	0.001550	
1.250	0.28	0.47	1.18	0.001613	
1.275	0.29	0.48	0.59	0.001687	
1.300	0.30	0.50	-0.54	0.001752	
1.325	0.32	0.45	-0.83	0.001832	
1.350	0.32	0.46	1.27	0.001884	
1.375	0.34	0.52	0.38	0.001965	
1.400	0.35	0.48	-0.59	0.002034	
1.425	0.36	0.49	0.42	0.002104	
1.450	0.37	0.50	0.23	0.002176	
1.475	0.39	0.50	-0.35	0.002249	
1.500	0.40	0.48	-0.18	0.002321	
1.525	0.41	0.49	0.76	0.002388	
1.550	0.42	0.52	0.60	0.002463	
1.575	0.44	0.52	0.90	0.002539	
1.600	0.45	0.56	0.84	0.002614	
1.625	0.46	0.56	-0.84	0.002703	
1.650	0.48	0.52	-0.66	0.002778	
1.675	0.49	0.53	0.10	0.002855	
1.700	0.50	0.53	0.75	0.002931	
1.725	0.52	0.57	2.09	0.003008	
1.750	0.53	0.63	0.49	0.003096	
1.775	0.55	0.59	-1.01	0.003191	
1.800	0.56	0.58	-0.15	0.003268	
1.825	0.58	0.58	-1.06	0.003360	
1.850	0.59	0.53	0.22	0.003438	
1.875	0.60	0.59	4.38	0.003513	
1.900	0.62	0.75	-0.08	0.003611	
1.925	0.64	0.59	23.43	0.003730	
1.950	0.65	1.92	0.38	0.003782	
1.975	0.74	0.61	-57.42	0.004288	
2.000	0.68	-0.95	-0.81	0.003960	
2.025	0.69	0.57	66.40	0.004011	
2.050	0.71	2.37	-295.19	0.004125	
2.075	0.81	-14.19	-370.61	0.004699	
2.100	0.00	-16.16	283.80	0.000000	
2.125	0.00	0.00	755.48	0.000000	
2.150	0.00	21.61	0.00	0.000000	
2.175	1.08	0.00	-864.44	0.006282	
2.200	0.00	-21.61	0.00	0.000000	
2.225	0.00	0.00	1395.14	0.000000	
2.250	0.00	48.15	0.00	0.000000	
2.275	2.41	0.00	-1925.84	0.013996	
2.300	0.00	-48.15	0.00	0.000000	
2.325	0.00	0.00	1316.98	0.000000	
2.350	0.00	17.70	0.00	0.000000	
2.375	0.89	0.00	-708.13	0.005146	
2.400	0.00	-17.70	0.00	0.000000	
2.425	0.00	0.00	354.06	0.000000	
2.450	0.00	0.00	0.00	0.000000	
2.475	0.00	0.00	0.00	0.000000	
2.500	0.00	0.00	0.00	0.000000	
2.525	0.00	0.00	0.00	0.000000	
2.550	0.00	0.00	0.00	0.000000	
2.575	0.00	0.00	0.00	0.000000	
2.600	0.00	0.00	0.00	0.000000	
2.625	0.00	0.00	0.00	0.000000	
2.650	0.00	0.00	0.00	0.000000	
2.675	0.00	0.00	0.00	0.000000	
2.700	0.00	0.00	0.00	0.000000	
2.725	0.00	0.00	0.00	0.000000	
2.750	0.00	0.00	0.00	0.000000	
2.775	0.00	0.00	0.00	0.000000	
2.800	0.00	0.00	0.00	0.000000	
2.825	0.00	0.00	0.00	0.000000	
2.850	0.00	0.00	0.00	0.000000	
2.875	0.00	0.00	0.00	0.000000	
2.900	0.00	0.00	0.00	0.000000	
2.925	0.00	0.00	0.00	0.000000	
2.950					
2.975					
